Worker,Time,Mask,Real,Detected
A353KETOEN0W8T,22,FALSE,Fear,Fear
A2KJ983WWTEK4L,10,FALSE,Fear,Fear
A2KXARDIOGJL8T,18,FALSE,Fear,Fear
AHAF93PYUCVQ1,52,FALSE,Fear,Anger
A3B9OZQTE4US3T,22,FALSE,Fear,Fear
A1IU5OP7BBZHZ7,10,FALSE,Fear,Fear
A36H3PO6JZD414,6,FALSE,Fear,Fear
AX8EX2QI5HIQQ,7,FALSE,Fear,Fear
A3O6XMWN8W84L5,14,FALSE,Fear,Anger
A2BO8M77CS3SGZ,11,FALSE,Fear,Fear
A3L3ZFL1NYFTCF,15,FALSE,Fear,Fear
A3J64XWXR1DB78,7,FALSE,Fear,Fear
AVPD36WUJKJFS,28,FALSE,Fear,Fear
A171VJ9J60DSJU,20,FALSE,Fear,Fear
A1KF93C9NTOP42,13,FALSE,Fear,Anger
A27VBVMMEX9GJB,34,FALSE,Fear,Fear
A37DR4QS4A5W5W,12,FALSE,Fear,Fear
A1E2Y158WG5FR6,6,FALSE,Fear,Anger
A12B5MV7IHN855,6,FALSE,Fear,Fear
A3EG4C9T4F5DUR,8,FALSE,Fear,Fear
A3P7M9666KJCP,15,FALSE,Fear,Fear
A1N9A4TGE3XK3V,15,FALSE,Fear,Fear
A1Y0ABOUJUMCWW,11,FALSE,Fear,Fear
AQ53YJDPDDLZ,23,FALSE,Fear,Fear
A122E99M2DQY1G,14,FALSE,Fear,Fear
A3UIVQJXY62XU8,9,FALSE,Fear,Fear
A3KU8DC7HJOGCM,12,FALSE,Fear,Anger
A3N5P5VO81FIJ6,14,FALSE,Fear,Anger
A2CKYCHQGXUI10,19,FALSE,Fear,Fear
AWTP9JNX0WK2F,10,FALSE,Fear,Fear
A25DHXVNVC0VPW,10,FALSE,Fear,Fear
A31Z5TPD8QKE26,19,FALSE,Fear,Fear
A36QYJDZBOQ5PQ,29,FALSE,Fear,Fear
AM9XH69KBK5X5,25,FALSE,Fear,Fear
AYJGJAIY0EXW,26,FALSE,Fear,Anger
A130P4M9JPT4YA,7,FALSE,Fear,Fear
A1FPCIKO68OQ63,9,FALSE,Fear,Fear
A2RVSBEHUCNC6K,26,FALSE,Fear,Fear
